"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1787","should navigate to analytics page @smoke","webkit","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","48","POST /api/auth/logout invalidates the token","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","516","should not be vulnerable to SQL injection in email field","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","1374","should show error message when password is incorrect @smoke","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","656","should show undo toast after deleting a report @smoke","firefox","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","477","traffic chart canvas should be visible","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","9","GET /api/users/:id returns 404 for non-existent user","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","1080","should show email validation error for invalid email format","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","847","activity feed should display items","firefox","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","367","should sort users by name ascending","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","55","POST /api/auth/login returns 200 and token with valid credentials @smoke","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1370","should add a new user successfully","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","426","dashboard nav item should be active on dashboard page","chromium","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","14","GET /api/metrics returns 401 without token","chromium","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","10","request with invalid token returns 403","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1115","each report should show status badge","webkit","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","20","POST /api/users returns 400 for missing required fields","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","368","should show email validation error for invalid email format","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","1415","should log out and redirect to login page @smoke","chromium","2026-08-25","passed","2026-08-25","Logout","","",""
"","1247","notification bell should be visible in header","webkit","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","35","valid token grants access to GET /api/auth/me","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","660","should show error message when email is not registered","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","682","dashboard nav item should be active on dashboard page","firefox","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","558","should display all 4 metric cards @smoke","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","954","all roles should be able to view the dashboard","chromium","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","317","should show pagination controls","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","1232","should add a new user successfully","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","803","should show error message when email is not registered","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","503","should navigate to reports page","chromium","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","320","should filter users by role","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","455","should show undo toast after deleting a report @smoke","chromium","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","1258","should redirect to login when accessing protected route after logout","firefox","2026-08-25","passed","2026-08-25","Logout","","",""
"","19","POST /api/auth/login returns 400 when password is missing","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","387","viewer should still see users table","chromium","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","1699","should filter users by search query","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","22","GET /api/users/:id returns 404 for non-existent user","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","104","series should contain 30 days of data","webkit","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","765","should set remember me flag in localStorage","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1843","should restore report after clicking undo","webkit","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","19","GET /api/users supports search query","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","1270","should display correctly at 768px viewport","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","4733","should log in with valid admin credentials @smoke","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","586","should have user profile in localStorage after login","firefox","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","87","series should contain 30 days of data","firefox","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","12","GET /api/metrics returns 401 without token","webkit","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","368","should open add user modal on button click @smoke","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","2069","should progress through all 3 wizard steps","webkit","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","520","should open delete confirmation dialog","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","828","should open add user modal on button click @smoke","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","484","activity items should show timestamps","chromium","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","19","DELETE /api/users/:id removes user","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","934","should log in with valid editor credentials","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1063","should cancel delete dialog without deleting","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","444","should not advance from step 1 without filling required fields","chromium","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","23","POST /api/users returns 400 for missing required fields","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","4828","should log out and redirect to login page @smoke","firefox","2026-08-25","passed","2026-08-25","Logout","","",""
"","48","POST /api/auth/login returns 401 for invalid password @smoke","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","870","should display all 4 metric cards @smoke","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","369","each report should show status badge","chromium","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","719","traffic chart canvas should be visible","firefox","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1437","should not be vulnerable to SQL injection in email field","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","29","GET /api/users returns paginated list @smoke","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","937","viewer should still see users table","firefox","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","628","should open add user modal on button click @smoke","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","13","POST /api/users creates a new user","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","573","should not be vulnerable to SQL injection in email field","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1303","admin should see add user button","webkit","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","22","POST /api/users creates a new user","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","844","should filter users by role","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","996","should redirect to dashboard if already authenticated","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","1240","analytics nav item should be active on analytics page","webkit","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1307","should restore report after clicking undo","firefox","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","657","each metric card should show a trend direction indicator","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","61","POST /api/auth/login returns 200 and token with valid credentials @smoke","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","698","should set remember me flag in localStorage","firefox","2026-08-25","passed","2026-08-25","Login","","",""
"","58","each metric card should have required shape","chromium","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","862","should navigate to analytics page @smoke","firefox","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","23","POST /api/auth/login returns 400 when email is missing","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1996","should redirect to login when accessing protected route after logout","webkit","2026-08-25","passed","2026-08-25","Logout","","",""
"","1387","should handle very long input without crashing","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","35","each metric card should have required shape","firefox","2026-08-25","passed","2026-08-25","Metrics API","","",""
"","364","should close modal on cancel","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","20","request without token returns 401","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","401","should load users table with data @smoke","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","1135","viewer should still see users table","webkit","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","546","should show pagination controls","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","475","notification bell should be visible in header","chromium","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","1829","should navigate to users page","webkit","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","25","GET /api/users supports search query","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","533","should have valid token in localStorage after login","chromium","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","14","PUT /api/users/:id updates user role","webkit","2026-08-25","passed","2026-08-25","Users API","","",""
"","888","should sort users by name ascending","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","1757","should have valid token in localStorage after login","webkit","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","28","request without token returns 401","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","540","should navigate to analytics page @smoke","chromium","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","1343","dashboard nav item should be active on dashboard page","webkit","2026-08-25","passed","2026-08-25","Sidebar Navigation","","",""
"","2177","should generate report and show in list","webkit","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","815","should show validation errors when submitting empty form","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","36","GET /api/users returns paginated list @smoke","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","681","should redirect to dashboard if already authenticated","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1407","download CSV button should be present on reports","webkit","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","15","request with invalid token returns 403","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","923","should not advance from step 1 without filling required fields","firefox","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","58","POST /api/auth/login returns 401 for invalid password @smoke","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","19","POST /api/auth/logout invalidates the token","webkit","2026-08-25","passed","2026-08-25","Auth API","","",""
"","527","user avatar should show initials in header","chromium","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","461","should display correctly at 1280px viewport","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","776","should progress through all 3 wizard steps","firefox","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","1221","should show error when password field is empty","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","1362","should show error when email field is empty","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","22","POST /api/auth/login returns 400 when password is missing","firefox","2026-08-25","passed","2026-08-25","Auth API","","",""
"","1369","user avatar should show initials in header","webkit","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","614","should persist session across page reload","chromium","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","1489","should display all 4 metric cards @smoke","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1756","all roles should be able to view the dashboard","firefox","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","91","POST /api/auth/login returns 200 and token with valid credentials @smoke","chromium","2026-08-25","passed","2026-08-25","Auth API","","",""
"","549","should show error when password field is empty","chromium","2026-08-25","passed","2026-08-25","Login","","",""
"","1479","should persist session across page reload","webkit","2026-08-25","passed","2026-08-25","Session Persistence","","",""
"","616","activity items should show timestamps","firefox","2026-08-25","passed","2026-08-25","Dashboard Widgets","","",""
"","451","should progress through all 3 wizard steps","chromium","2026-08-25","passed","2026-08-25","Generate Report Wizard","","",""
"","1010","should show email validation error for invalid email format","firefox","2026-08-25","passed","2026-08-25","User Management","","",""
"","349","should open delete confirmation dialog","chromium","2026-08-25","passed","2026-08-25","User Management","","",""
"","847","should restore report after clicking undo","chromium","2026-08-25","passed","2026-08-25","Report Export and Delete","","",""
"","344","admin should see add user button","chromium","2026-08-25","passed","2026-08-25","User Role Permissions","","",""
"","440","should display correctly at 768px viewport","chromium","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1045","should show validation errors when submitting empty form","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
"","15","POST /api/users returns 400 for missing required fields","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","1726","should set remember me flag in localStorage","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","24","DELETE /api/users/:id removes user","chromium","2026-08-25","passed","2026-08-25","Users API","","",""
"","1687","should log in with valid editor credentials","webkit","2026-08-25","passed","2026-08-25","Login","","",""
"","14","DELETE /api/users/:id removes user","firefox","2026-08-25","passed","2026-08-25","Users API","","",""
"","1425","activity chart canvas should render with data","webkit","2026-08-25","passed","2026-08-25","Dashboard Metrics","","",""
"","1285","should load users table with data @smoke","webkit","2026-08-25","passed","2026-08-25","User Management","","",""
